"","Condition","List","GenderRating","Name","Prompt","Male","Female","Other","Likeable","Accomplished","Important","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"179","first","2B",3.75,"Quinn Brooks","politics",1,0,0,1,1,2,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"180","first","2B",6.78,"Rebecca King","album",0,1,0,2,1,3,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"181","first","2B",4.34,"Riley Campbell","sports",1,0,0,2,1,3,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"182","first","2B",2.41,"Tommie Hill","meals",1,0,0,1,1,1,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"183","first","2C",6.24,"Ashley Walker","science",0,1,0,3,3,3,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"184","first","2C",2.61,"Emerson Green","sports",1,0,0,3,2,2,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"185","first","2C",6.82,"Emily Baker","animals",0,1,0,2,2,2,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"186","first","2C",5.34,"Jackie White","meals",0,1,0,2,2,1,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"187","first","2C",1.28,"James Miller","politics",1,0,0,3,3,3,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"188","first","2C",4.39,"Jessie Cook","book",1,0,0,3,2,3,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"189","first","2C",3.87,"Reese Parker","album",1,0,0,4,2,3,"R_Qnq2Vbm9BTp3qvv","female","25 - 34","White","2 year degree"
"190","first","2A",2.12,"Chris Collins","meals",1,0,0,1,1,1,"R_3CBBu670m7Ts6Ld","male","35 - 44","Asian","4 year degree"
"191","first","2A",5.59,"Jodie Ward","animals",0,1,0,1,1,1,"R_3CBBu670m7Ts6Ld","male","35 - 44","Asian","4 year degree"
