"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"106","first",2,1.21,"Matthew","Matthew",NA,1,0,0,"","he jumped up and down with excitement.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"107","first",2,1.24,"Brian","Brian",NA,0,0,1,"repeat name","the cat scratched Brian's arm.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"108","first",2,1.28,"James","James",NA,1,0,0,"","he grabbed his keys and drove away.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"109","first",2,2.12,"Chris","Chris",NA,1,0,0,"","he got more snacks.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"110","first",2,2.41,"Tommie","Tommie",NA,1,0,0,"","he ate some ice cream and watched YouTube videos.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"111","first",2,2.61,"Emerson","Emerson",NA,1,0,0,"","he took a soak in the hot tub.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"112","first",2,3.61,"Stevie","Stevie",NA,1,0,0,"","he prepared a snack of a peanut butter and jelly sandwich.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"113","first",2,3.75,"Quinn","Quinn",NA,1,0,0,"","he checked out the hot girl talking to his friend James.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"114","first",2,3.87,"Reese","Reese",NA,0,1,0,"","she added some vodka to make the whole day more exciting.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"115","first",2,4.22,"Taylor","Taylor",NA,1,0,0,"","he did a cartwheel.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"116","first",2,4.34,"Riley","Riley",NA,0,1,0,"","she vacuumed the rest of the house.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"117","first",2,4.39,"Jessie","Jessie",NA,0,1,0,"","she started singing along to her favorite song.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"118","first",2,4.73,"Kerry","Kerry",NA,0,1,0,"","she took off her hat and scarf.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"119","first",2,5.22,"Blair","Blair",NA,0,1,0,"","she got under a blanket and read a book.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"120","first",2,5.34,"Jackie","Jackie",NA,0,1,0,"","she got a recommendation for the best instructor on the mountain.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"121","first",2,5.59,"Jodie","Jodie",NA,0,1,0,"","she went and got some ice cream.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"122","first",2,5.86,"Elisha","Elisha",NA,0,1,0,"","she got a Pepsi from the fridge.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"123","first",2,6.24,"Ashley","Ashley",NA,0,1,0,"","she decided to send an email to the office as well.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"124","first",2,6.73,"Mary","Mary",NA,0,1,0,"","a pigeon came and tried to steal her bagel.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"125","first",2,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she turned on the outside lights and found her tip money.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
"126","first",2,6.82,"Emily","Emily",NA,0,1,0,"","she took a drink of water.","R_3nrwLtguZ9msQnb","female","35 - 44","White","4 year degree"
